1,38
2,37
3,36
4,35
5,34
6,33
7,32
8,31
9,30
1,2,3,8,10,15
1,2,3,8,11,14
1,2,3,8,12,13
1,2,3,9,10,14
1,2,3,9,11,13
1,2,3,10,11,12
1,2,4,5,6,21
1,2,4,5,7,20
1,2,4,5,8,19
1,2,4,5,9,18
1,2,4,5,10,17
1,2,4,5,11,16
1,2,4,5,12,15
1,2,4,5,13,14
1,2,4,6,7,19
1,2,4,6,8,18
1,2,4,6,9,17
1,2,4,6,10,16
1,2,4,6,11,15
1,2,4,6,12,14
1,2,4,7,8,17
1,2,4,7,9,16
1,2,4,7,10,15
1,2,4,7,11,14
1,2,4,7,12,13
1,2,4,8,9,15
1,2,4,8,10,14
1,2,4,8,11,13
1,2,4,9,10,13
1,2,4,9,11,12
1,2,5,6,7,18
1,2,5,6,8,17
1,2,5,6,9,16
1,2,5,6,10,15
1,2,5,6,11,14
1,2,5,6,12,13
1,2,5,7,8,16
1,2,5,7,9,15
1,2,5,7,10,14
1,2,5,7,11,13
1,2,5,8,9,14
1,2,5,8,10,13
1,2,5,8,11,12
1,2,5,9,10,12
1,2,6,7,8,15
1,2,6,7,9,14
1,2,6,7,10,13
1,2,6,7,11,12
1,2,6,8,9,13
1,2,6,8,10,12
1,2,6,9,10,11
1,2,7,8,9,12
1,2,7,8,10,11
1,3,4,5,6,20
1,3,4,5,7,19
1,3,4,5,8,18
1,3,4,5,9,17
1,3,4,5,10,16
1,3,4,5,11,15
1,3,4,5,12,14
1,3,4,6,7,18
1,3,4,6,8,17
1,3,4,6,9,16
1,3,4,6,10,15
1,3,4,6,11,14
1,3,4,6,12,13
1,3,4,7,8,16
1,3,4,7,9,15
1,3,4,7,10,14
1,3,4,7,11,13
1,3,4,8,9,14
1,3,4,8,10,13
1,3,4,8,11,12
1,3,4,9,10,12
1,3,5,6,7,17
1,3,5,6,8,16
1,3,5,6,9,15
1,3,5,6,10,14
1,3,5,6,11,13
1,3,5,7,8,15
1,3,5,7,9,14
1,3,5,7,10,13
1,3,5,7,11,12
1,3,5,8,9,13
1,3,5,8,10,12
1,3,5,9,10,11
1,3,6,7,8,14
1,3,6,7,9,13
1,3,6,7,10,12
1,3,6,8,9,12
1,3,6,8,10,11
1,3,7,8,9,11
1,4,5,6,7,16
1,4,5,6,8,15
1,4,5,6,9,14
1,4,5,6,10,13
1,4,5,6,11,12
1,4,5,7,8,14
1,4,5,7,9,13
1,4,5,7,10,12
1,4,5,8,9,12
1,4,5,8,10,11
1,4,6,7,8,13
1,4,6,7,9,12
1,4,6,7,10,11
1,4,6,8,9,11
1,4,7,8,9,10
1,5,6,7,8,12
1,5,6,7,9,11
1,5,6,8,9,10
2,3,4,5,6,19
2,3,4,5,7,18
2,3,4,5,8,17
2,3,4,5,9,16
2,3,4,5,10,15
2,3,4,5,11,14
2,3,4,5,12,13
2,3,4,6,7,17
2,3,4,6,8,16
2,3,4,6,9,15
2,3,4,6,10,14
2,3,4,6,11,13
2,3,4,7,8,15
2,3,4,7,9,14
2,3,4,7,10,13
2,3,4,7,11,12
2,3,4,8,9,13
2,3,4,8,10,12
2,3,4,9,10,11
2,3,5,6,7,16
2,3,5,6,8,15
2,3,5,6,9,14
2,3,5,6,10,13
2,3,5,6,11,12
2,3,5,7,8,14
2,3,5,7,9,13
2,3,5,7,10,12
2,3,5,8,9,12
2,3,5,8,10,11
2,3,6,7,8,13
2,3,6,7,9,12
2,3,6,7,10,11
2,3,6,8,9,11
2,3,7,8,9,10
2,4,5,6,7,15
2,4,5,6,8,14
2,4,5,6,9,13
2,4,5,6,10,12
2,4,5,7,8,13
2,4,5,7,9,12
2,4,5,7,10,11
2,4,5,8,9,11
2,4,6,7,8,12
2,4,6,7,9,11
2,4,6,8,9,10
2,5,6,7,8,11
2,5,6,7,9,10
3,4,5,6,7,14
3,4,5,6,8,13
3,4,5,6,9,12
3,4,5,6,10,11
3,4,5,7,8,12
3,4,5,7,9,11
3,4,5,8,9,10
3,4,6,7,8,11
3,4,6,7,9,10
3,5,6,7,8,10
4,5,6,7,8,9
1,2,3,4,5,6,18
1,2,3,4,5,7,17
1,2,3,4,5,8,16
1,2,3,4,5,9,15
1,2,3,4,5,10,14
1,2,3,4,5,11,13
1,2,3,4,6,7,16
1,2,3,4,6,8,15
1,2,3,4,6,9,14
1,2,3,4,6,10,13
1,2,3,4,6,11,12
1,2,3,4,7,8,14
1,2,3,4,7,9,13
1,2,3,4,7,10,12
1,2,3,4,8,9,12
1,2,3,4,8,10,11
1,2,3,5,6,7,15
1,2,3,5,6,8,14
1,2,3,5,6,9,13
1,2,3,5,6,10,12
1,2,3,5,7,8,13
1,2,3,5,7,9,12
1,2,3,5,7,10,11
1,2,3,5,8,9,11
1,2,3,6,7,8,12
1,2,3,6,7,9,11
1,2,3,6,8,9,10
1,2,4,5,6,7,14
1,2,4,5,6,8,13
1,2,4,5,6,9,12
1,2,4,5,6,10,11
1,2,4,5,7,8,12
1,2,4,5,7,9,11
1,2,4,5,8,9,10
1,2,4,6,7,8,11
1,2,4,6,7,9,10
1,2,5,6,7,8,10
1,3,4,5,6,7,13
1,3,4,5,6,8,12
1,3,4,5,6,9,11
1,3,4,5,7,8,11
1,3,4,5,7,9,10
1,3,4,6,7,8,10
1,3,5,6,7,8,9
2,3,4,5,6,7,12
2,3,4,5,6,8,11
2,3,4,5,6,9,10
2,3,4,5,7,8,10
2,3,4,6,7,8,9
1,2,3,4,5,6,7,11
1,2,3,4,5,6,8,10
1,2,3,4,5,7,8,9
